Player,Birth Date
Elvin Hayes*,November 17 1945
Jarvis Hayes,August 9 1981
Jaxson Hayes,May 23 2000
Jim Hayes,February 18 1948
Killian Hayes,July 27 2001
Nigel Hayes,December 16 1994
Steve Hayes,August 2 1955
Gordon Hayward,March 23 1990
Lazar Hayward,November 26 1986
Brendan Haywood,November 27 1979
Spencer Haywood*,April 22 1949
John Hazen,March 2 1927
Walt Hazzard,April 15 1942
Luther Head,November 26 1982
Shane Heal,September 6 1970
Brian Heaney,September 3 1946
Gar Heard,May 3 1948
Reggie Hearn,August 14 1991
Herm Hedderick,January 10 1930
Alvin Heggs,December 12 1967
Tom Heinsohn*,August 26 1934
Dick Hemric,August 29 1933
Alan Henderson,December 2 1972
Cedric Henderson,October 3 1965
Cedric Henderson,March 11 1975
Dave Henderson,July 21 1964
Gerald Henderson,January 16 1956
Gerald Henderson,December 9 1987
J.R. Henderson,October 30 1976
Jerome Henderson,October 5 1959
Kevin Henderson,March 22 1964
Tom Henderson,January 26 1952
Mark Hendrickson,June 23 1974
Larry Hennessy,May 20 1929
Don Henriksen,October 10 1929
Aaron Henry,August 30 1999
Al Henry,February 9 1949
Bill Henry,December 27 1924
Carl Henry,August 16 1960
Conner Henry,July 21 1963
Myke Henry,December 23 1992
Skeeter Henry,December 8 1967
Xavier Henry,March 15 1991
John Henson,December 28 1990
Steve Henson,February 2 1968
Charles Hentz,September 13 1947
Bill Herman,May 17 1924
Kleggie Hermsen,March 12 1923
Dewan Hernandez,December 9 1996
Juancho Hernangómez,September 28 1995
Willy Hernangómez,May 27 1994
Chris Herren,September 27 1975
Carl Herrera,December 14 1966
Walter Herrmann,June 26 1979
Tyler Herro,January 20 2000
Keith Herron,June 14 1956
Sonny Hertzberg,July 29 1922
Kevin Hervey,July 9 1996
Dan Hester,November 8 1948
Fred Hetzel,July 21 1942
Bill Hewitt,August 8 1944
Jack Hewson,September 7 1924
Art Heyman,June 24 1941
Mario Hezonja,February 25 1995
Roy Hibbert,December 11 1986
Nat Hickey,January 30 1902
Isaiah Hicks,July 24 1994
Phil Hicks,January 31 1953
J.J. Hickson,September 4 1988
Buddy Hield,December 17 1992
Bill Higgins,December 15 1952
Cory Higgins,June 14 1989
Earle Higgins,December 30 1946
Mike Higgins,February 17 1967
Rod Higgins,January 31 1960
Sean Higgins,December 30 1968
Kenny Higgs,January 31 1955
Johnny High,April 25 1957
Haywood Highsmith,December 9 1996
Wayne Hightower,January 14 1940
Nenê,September 13 1982
Armond Hill,March 31 1953
Cleo Hill,May 24 1938
Gary Hill,October 7 1941
George Hill,May 4 1986
Grant Hill*,October 5 1972
Jordan Hill,July 27 1987
Malcolm Hill,October 26 1995
Simmie Hill,November 14 1946
Solomon Hill,March 18 1991
Steven Hill,November 14 1985
Tyrone Hill,March 19 1968
Art Hillhouse,June 12 1916
Darrun Hilliard,April 13 1993
Darnell Hillman,August 29 1949
Fred Hilton,January 15 1948
Kirk Hinrich,January 2 1981
Roy Hinson,May 2 1961
Nate Hinton,June 8 1999
Mel Hirsch,July 31 1921
Lew Hitch,July 16 1929
Robert Hite,January 12 1984
Jaylen Hoard,March 30 1999
Darington Hobson,September 29 1987
Donald Hodge,February 25 1969
Julius Hodge,November 18 1983
Craig Hodges,June 27 1960
Charlie Hoefer,September 16 1921
Paul Hoffman,April 12 1925
Bob Hogsett,January 29 1941
Paul Hogue,April 28 1940
Fred Hoiberg,October 15 1972
Doug Holcomb,February 9 1925
Randy Holcomb,August 8 1979
Aaron Holiday,September 30 1996
Jrue Holiday,June 12 1990
Justin Holiday,April 5 1989
Brad Holland,December 6 1956
Joe Holland,September 26 1925
John Holland,November 6 1988
Wilbur Holland,November 8 1951
Lionel Hollins,October 19 1953
Ryan Hollins,October 10 1984
Essie Hollis,May 16 1955
Rondae Hollis-Jefferson,January 3 1995
Dennis Holman,October 8 1945
Richaun Holmes,October 15 1993
Jim Holstein,September 24 1930
A.W. Holt,August 26 1946
Michael Holton,August 4 1961
Dick Holub,October 29 1921
Joe Holup,February 26 1934
Red Holzman*,August 10 1920
Jerald Honeycutt,October 20 1974
Tyler Honeycutt,July 15 1990
Derek Hood,December 22 1976
Rodney Hood,October 20 1992
Bobby Hooper,December 22 1946
Carroll Hooser,March 5 1944
Tom Hoover,January 23 1941
Bob Hopkins,November 3 1934
Dave Hoppen,March 13 1964
Dennis Hopson,April 22 1965
Scotty Hopson,August 8 1989
Johnny Horan,November 24 1932
Cedrick Hordges,January 8 1957
Al Horford,June 3 1986
Tito Horford,January 19 1966
Ron Horn,May 24 1938
Jeff Hornacek,May 3 1963
Dennis Horner,February 5 1988
Robert Horry,August 25 1970
Ed Horton,December 17 1967
Talen Horton-Tucker,November 25 2000
Bill Hosket,December 20 1946
Bob Houbregs*,March 12 1932
Danuel House Jr.,June 7 1993
Eddie House,May 14 1978
Allan Houston,April 20 1971
Byron Houston,November 22 1969
Tom Hovasse,January 31 1967
Brian Howard,October 19 1967
Dwight Howard,December 8 1985
Greg Howard,January 8 1948
Josh Howard,April 28 1980
Juwan Howard,February 7 1973
Markus Howard,March 3 1999
Mo Howard,August 25 1954
Otis Howard,November 5 1956
Stephen Howard,July 15 1970
William Howard,October 25 1993
Bailey Howell*,January 20 1937
Bob Hubbard,December 27 1922
Phil Hubbard,December 13 1956
Lester Hudson,August 7 1984
Lou Hudson*,July 11 1944
Troy Hudson,March 13 1976
Marcelo Huertas,May 25 1983
Kevin Huerter,August 27 1998
Josh Huestis,December 19 1991
Jay Huff,August 25 1998
Nate Huffman,April 2 1975
Alfredrick Hughes,July 19 1962
Eddie Hughes,May 26 1960
Elijah Hughes,March 10 1998
Kim Hughes,June 4 1952
Larry Hughes,January 23 1979
Rick Hughes,August 22 1973
Robbie Hummel,March 8 1989
John Hummer,May 4 1948
Ryan Humphrey,July 24 1979
Isaac Humphries,January 5 1998
Jay Humphries,October 17 1962
Kris Humphries,February 6 1985
Hot Rod Hundley,October 26 1934
Brandon Hunter,November 24 1980
Cedric Hunter,January 16 1965
Chris Hunter,July 7 1984
De'Andre Hunter,December 2 1997
Les Hunter,August 16 1942
Lindsey Hunter,December 3 1970
Othello Hunter,May 28 1986
R.J. Hunter,October 24 1993
Steven Hunter,October 31 1981
Vince Hunter,August 5 1994
Bobby Hurley,June 28 1971
Roy Hurley,August 12 1922
Geoff Huston,November 8 1957
Paul Huston,June 2 1925
Mel Hutchins,November 22 1928
Chandler Hutchison,April 26 1996
Joe Hutton,October 6 1928
Greg Hyder,June 21 1948
Bones Hyland,September 14 2000
Marc Iavaroni,September 15 1956
Serge Ibaka,September 18 1989
Andre Iguodala,January 28 1984
Zydrunas Ilgauskas,June 5 1975
Mile Ili?,June 2 1984
D.J. Mbenga,December 30 1980
Ersan ?lyasova,May 15 1987
Darrall Imhoff,October 11 1938
Tom Ingelsby,February 12 1951
Joe Ingles,October 2 1987
Damien Inglis,May 20 1995
Andre Ingram,November 19 1985
Brandon Ingram,September 2 1997
McCoy Ingram,August 31 1931
Ervin Inniger,January 16 1945
Byron Irvin,December 2 1966
George Irvine,February 1 1948
Kyrie Irving,March 23 1992
Jonathan Isaac,October 3 1997
Dan Issel*,October 25 1948
Mike Iuzzolino,January 22 1968
Allen Iverson*,June 7 1975
Willie Iverson,October 8 1945
Royal Ivey,December 20 1981
Elvin Ivory,July 2 1948
Wes Iwundu,December 20 1994
Warren Jabali,August 29 1946
Jarrett Jack,October 28 1983
Aaron Jackson,May 6 1986
Al Jackson,July 29 1943
Bobby Jackson,March 13 1973
Cedric Jackson,March 5 1986
Darnell Jackson,November 7 1985
Demetrius Jackson,September 7 1994
Frank Jackson,May 4 1998
Greg Jackson,August 2 1952
Isaiah Jackson,January 10 2002
Jaren Jackson,October 27 1967
Jaren Jackson Jr.,September 15 1999
Jermaine Jackson,June 7 1976
Jim Jackson,October 14 1970
Josh Jackson,February 10 1997
Justin Jackson,March 28 1995
Luke Jackson,October 31 1941
Luke Jackson,November 6 1981
Marc Jackson,January 16 1975
Mark Jackson,April 1 1965
Mervin Jackson,August 15 1946
Michael Jackson,July 13 1964
Mike Jackson,July 31 1949
Myron Jackson,May 6 1964
Phil Jackson*,September 17 1945
Pierre Jackson,August 29 1991
Ralph Jackson,October 26 1962
Randell Jackson,January 16 1976
Reggie Jackson,April 16 1990
Stanley Jackson,October 10 1970
Stephen Jackson,April 5 1978
Tony Jackson,November 7 1942
Tony Jackson,January 17 1958
Tracy Jackson,April 21 1959
Wardell Jackson,July 18 1951
Fred Jacobs,December 2 1922
Casey Jacobsen,March 19 1981
Sam Jacobson,July 22 1975
Dave Jamerson,August 13 1967
Aaron James,October 5 1952
Bernard James,February 7 1985
Billy James,February 11 1950
Damion James,October 7 1987
Gene James,February 15 1925
Henry James,July 29 1965
Jerome James,November 17 1975
Justin James,January 24 1997
LeBron James,December 30 1984
Mike James,June 23 1975
Mike James,August 18 1990
Tim James,December 26 1976
Antawn Jamison,June 12 1976
Harold Jamison,November 20 1976
John Janisch,March 15 1920
Howie Janotta,October 19 1924
Marko Jari?,October 12 1978
Tony Jaros,February 22 1920
DeJon Jarreau,January 23 1998
Jim Jarvis,March 3 1943
Šar?nas Jasikevi?ius,March 5 1976
Nathan Jawai,October 10 1986
Buddy Jeannette*,September 15 1917
Abdul Jeelani,February 10 1954
Chris Jefferies,February 13 1980
Othyus Jeffers,August 5 1985
Al Jefferson,January 4 1985
Amile Jefferson,May 7 1993
Cory Jefferson,December 26 1990
Dontell Jefferson,December 15 1983
Richard Jefferson,June 21 1980
DaQuan Jeffries,August 30 1997
Jared Jeffries,November 25 1981
Charles Jenkins,February 28 1989
Horace Jenkins,October 14 1974
John Jenkins,March 6 1991
Brandon Jennings,September 23 1989
Keith Jennings,November 2 1968
Chris Jent,January 11 1970
Les Jepsen,June 24 1967
Jonas Jerebko,March 2 1987
Ty Jerome,July 8 1997
Grant Jerrett,July 8 1993
Eugene Jeter,December 2 1983
Hal Jeter,May 17 1945
Yi Jianlian,October 27 1987
Isaiah Joe,July 2 1999
Britton Johnsen,July 8 1979
Alexander Johnson,February 8 1983
Alize Johnson,April 22 1996
Amir Johnson,May 1 1987
Andy Johnson,November 8 1932
Anthony Johnson,October 2 1974
Armon Johnson,February 23 1989
Arnie Johnson,May 16 1920
Avery Johnson,March 25 1965
B.J. Johnson,December 21 1995
Brice Johnson,June 27 1994
Buck Johnson,January 3 1964
Cameron Johnson,March 3 1996
Carldell Johnson,January 28 1983
Charles Johnson,March 31 1949
Cheese Johnson,September 7 1957
Chris Johnson,July 15 1985
Chris Johnson,April 29 1990
Clay Johnson,July 18 1956
Clemon Johnson,September 12 1956
Dakari Johnson,September 22 1995
Darryl Johnson,October 26 1965
Dave Johnson,November 16 1970
David Johnson,February 26 2001
DeMarco Johnson,October 6 1975
Dennis Johnson*,September 18 1954
DerMarr Johnson,May 5 1980
Ed Johnson,June 17 1944
Eddie Johnson,February 24 1955
Eddie Johnson,May 1 1959
Eric Johnson,February 7 1966
Ervin Johnson,December 21 1967
Frank Johnson,November 23 1958
George Johnson,June 19 1947
George Johnson,December 18 1948
George Johnson,December 8 1956
Gus Johnson*,December 13 1938
Harold Johnson,January 30 1920
Ivan Johnson,April 10 1984
JaJuan Johnson,February 8 1989
Jalen Johnson,December 18 2001
James Johnson,February 20 1987
Joe Johnson,June 29 1981
John Johnson,October 18 1947
Kannard Johnson,June 24 1965
Keldon Johnson,October 11 1999
Ken Johnson,November 7 1962
Ken Johnson,February 1 1978
Keon Johnson,March 10 2002
Kevin Johnson,March 4 1966
Larry Johnson,November 28 1954
Larry Johnson,March 14 1969
Lee Johnson,June 16 1957
Linton Johnson,June 13 1980
Magic Johnson*,August 14 1959
Marques Johnson,February 8 1956
Mickey Johnson,August 31 1952
Neil Johnson,April 17 1943
Nick Johnson,December 22 1992
Ollie Johnson,May 11 1949
Omari Johnson,November 26 1989
Orlando Johnson,March 11 1989
Ralph Johnson,December 6 1921
Reggie Johnson,June 25 1957
Rich Johnson,December 18 1946
Ron Johnson,July 20 1938
Stanley Johnson,May 29 1996
Steffond Johnson,November 4 1962
Steve Johnson,November 3 1957
Stew Johnson,August 19 1944
Trey Johnson,August 30 1984
Tyler Johnson,May 7 1992
Vinnie Johnson,September 1 1956
Wesley Johnson,July 11 1987
Darius Johnson-Odom,September 28 1989
Nate Johnston,December 18 1966
Neil Johnston*,February 4 1929
Jim Johnstone,September 20 1960
Nikola Joki?,February 19 1995
Howie Jolliff,July 20 1938
Alvin Jones,September 9 1978
Anthony Jones,September 13 1962
Askia Jones,December 3 1971
Bill Jones,March 18 1966
Bobby Jones*,December 18 1951
Bobby Jones,January 9 1984
Caldwell Jones,August 4 1950
Carlik Jones,December 23 1997
Charles Jones,April 3 1957
Charles Jones,January 12 1962
Charles Jones,July 17 1975
Collis Jones,July 3 1949
Dahntay Jones,December 27 1980
Damian Jones,June 30 1995
Damon Jones,August 25 1976
DeQuan Jones,June 20 1990
Derrick Jones Jr.,February 15 1997
Dominique Jones,October 15 1988
Dontae' Jones,June 2 1975
Dwayne Jones,June 9 1983
Dwight Jones,February 27 1952
Earl Jones,January 13 1961
Eddie Jones,October 20 1971
Edgar Jones,June 17 1956
Fred Jones,March 11 1979
Herbert Jones,October 6 1998
Hutch Jones,September 1 1959
Jake Jones,May 9 1949
Jalen Jones,May 27 1993
James Jones,October 4 1980
Jemerrio Jones,April 9 1995
Jimmy Jones,January 1 1945
Johnny Jones,March 12 1943
Jumaine Jones,February 10 1979
K.C. Jones*,May 25 1932
Kai Jones,January 19 2001
Kevin Jones,August 25 1989
Larry Jones,September 22 1942
Major Jones,July 9 1953
Mark Jones,April 10 1961
Mark Jones,May 25 1975
Mason Jones,July 21 1998
Nick Jones,March 28 1945
Ozell Jones,November 20 1960
Perry Jones,September 24 1991
Popeye Jones,June 17 1970
Rich Jones,December 27 1946
Robin Jones,February 2 1954
Sam Jones*,June 24 1933
Shelton Jones,April 6 1966
Solomon Jones,July 16 1984
Steve Jones,October 17 1942
Terrence Jones,January 9 1992
Tre Jones,January 8 2000
Tyus Jones,May 10 1996
Wah Wah Jones,July 14 1926
Wali Jones,February 14 1942
Wil Jones,February 27 1947
Willie Jones,June 29 1936
Adonis Jordan,August 21 1970
Charles Jordan,January 31 1954
DeAndre Jordan,July 21 1988
Eddie Jordan,January 29 1955
Jerome Jordan,September 29 1986
Michael Jordan*,February 17 1963
Reggie Jordan,January 26 1968
Thomas Jordan,May 23 1968
Walter Jordan,February 19 1956
Phil Jordon,September 12 1933
Johnny Jorgensen,December 28 1921
Noble Jorgensen,May 18 1925
Roger Jorgensen,September 2 1920
Cory Joseph,August 20 1991
Garth Joseph,August 8 1973
Kris Joseph,December 17 1988
Yvon Joseph,October 31 1957
Kevin Joyce,June 27 1951
Butch Joyner,April 26 1945
Jeff Judkins,March 23 1956
Mfiondu Kabengele,August 14 1997
Whitey Kachan,September 15 1925
George Kaftan,February 22 1928
Ed Kalafat,October 13 1932
Georgios Kalaitzakis,January 2 1999
Chris Kaman,April 28 1982
Frank Kaminsky,April 4 1993
Ralph Kaplowitz,May 18 1919
Jason Kapono,February 4 1981
Tony Kappen,April 13 1919
Sergey Karasev,October 26 1993
Coby Karl,March 6 1983
George Karl*,May 12 1951
Ed Kasid,August 13 1923
Mario Kasun,April 5 1980
Leo Katkaveck,April 17 1923
Bob Kauffman,July 13 1946
Sasha Kaun,May 8 1985
Wilbert Kautz,September 7 1915
Clarence Kea,February 2 1959
Mike Kearns,June 18 1929
Tommy Kearns,October 6 1936
Adam Keefe,February 22 1970
Harold Keeling,September 18 1963
Bill Keller,August 30 1947
Gary Keller,June 13 1944
Ken Keller,August 16 1922
Rich Kelley,March 23 1953
Clark Kellogg,July 2 1961
Arvesta Kelly,November 20 1945
Jerry Kelly,June 14 1918
Ryan Kelly,April 9 1991
Tom Kelly,March 5 1924
Greg Kelser,September 17 1957
Ben Kelso,April 11 1949
Shawn Kemp,November 26 1969
Tim Kempton,January 25 1964
Frank Kendrick,September 11 1950
Luke Kennard,June 24 1996
D.J. Kennedy,November 5 1989
Goo Kennedy,August 23 1949
Joe Kennedy,January 12 1947
Pickles Kennedy,May 17 1938
Larry Kenon,December 13 1952
Billy Kenville,December 1 1930
Jonathan Kerner,June 6 1974
Red Kerr,July 17 1932
Steve Kerr,September 27 1965
Jack Kerris,January 30 1925
Jerome Kersey,June 26 1962
Tom Kerwin,July 19 1944
Alec Kessler,January 13 1967
Lari Ketner,February 1 1977
Braxton Key,February 14 1997
Julius Keye,September 5 1946
Randolph Keys,April 19 1966
Viktor Khryapa,August 3 1982
Jason Kidd*,March 23 1973
Stanton Kidd,March 18 1992
Warren Kidd,September 9 1970
Michael Kidd-Gilchrist,September 26 1993
Irv Kiffin,August 8 1951
Jack Kiley,January 5 1929
Earnie Killum,June 11 1948
Carl Kilpatrick,May 16 1956
Sean Kilpatrick,January 6 1990
Toby Kimball,September 7 1942
Bo Kimble,April 9 1966
Stan Kimbrough,April 24 1966
Chad Kinch,May 22 1958
Albert King,December 17 1959
Bernard King*,December 4 1956
Chris King,July 24 1969
Dan King,January 7 1931
Frankie King,June 6 1972
George King,August 16 1928
George King,January 15 1994
Gerard King,November 25 1972
Jim King,February 7 1941
Jimmy King,August 9 1973
Louis King,April 6 1999
Loyd King,May 29 1949
Maurice King,March 12 1935
Reggie King,February 14 1957
Rich King,April 4 1969
Ron King,July 11 1951
Stacey King,January 29 1967
Tom King,March 9 1924
Bob Kinney,September 16 1920
Tarence Kinsey,March 21 1984
Andrei Kirilenko,February 18 1981
Alex Kirk,November 14 1991
Walt Kirk,September 3 1924
Corey Kispert,March 3 1999
Jim Kissane,August 17 1946
Doug Kistler,March 21 1938
Curtis Kitchen,January 30 1964
Greg Kite,August 5 1961
Kerry Kittles,June 12 1974
Maxi Kleber,January 29 1992
Joe Kleine,January 4 1962
Linas Kleiza,January 3 1985
Leo Klier,May 21 1923
Herm Klotz,October 21 1921
Duane Klueh,January 6 1926
Lonnie Kluttz,September 17 1945
Billy Knight,June 9 1952
Bob Knight,April 30 1929
Brandin Knight,December 16 1981
Brandon Knight,December 2 1991
Brevin Knight,November 8 1975
Nathan Knight,September 20 1997
Negele Knight,March 6 1967
Ron Knight,August 4 1947
Toby Knight,May 3 1955
Travis Knight,September 13 1974
Lee Knorek,July 15 1921
Dick Knostman,August 9 1931
Rod Knowles,February 27 1946
Kevin Knox,August 11 1999
Bart Kofoed,March 24 1964
Don Kojis,January 15 1939
Milo Komenich,June 22 1920
Howard Komives,May 9 1941
Jon Koncak,May 17 1963
John Konchar,March 22 1996
Tom Kondla,November 30 1946
Bud Koper,August 9 1942
Joe Kopicki,June 12 1960
Furkan Korkmaz,July 24 1997
Frank Kornet,January 27 1967
Luke Kornet,July 15 1995
Yaroslav Korolev,May 7 1987
Kyle Korver,March 17 1981
Tony Koski,June 26 1946
Len Kosmalski,November 29 1951
Andy Kostecka,February 10 1921
Harold Kottman,August 22 1922
Kosta Koufos,February 24 1989
Tom Kozelko,July 1 1951
Ronald Kozlicki,December 12 1944
Arvid Kramer,October 2 1956
Barry Kramer,November 10 1942
Joel Kramer,November 30 1955
Steven Kramer,January 1 1945
Dan Kraus,February 13 1923
Herb Krautblatt,November 19 1926
Viacheslav Kravtsov,August 25 1987
Jim Krebs,September 8 1935
Vit Krejci,June 19 2000
Wayne Kreklow,January 4 1957
Tommy Kron,February 28 1943
Tom Kropp,February 12 1953
Nenad Krsti?,July 25 1983
Larry Krystkowiak,September 23 1964
Steve Kuberski,November 6 1947
Leo Kubiak,December 25 1927
Bruce Kuczenski,February 3 1961
Frank Kudelka,June 25 1925
John Kuester,February 6 1955
Ray Kuka,February 17 1922
Toni Kuko?*,September 18 1968
Arnoldas Kulboka,January 4 1998
Jonathan Kuminga,October 6 2002
Kevin Kunnert,November 11 1951
Terry Kunze,March 11 1943
Mitch Kupchak,May 24 1954
C.J. Kupec,January 26 1953
Rodions Kurucs,February 5 1998
Rob Kurz,March 5 1985
Ibo Kutluay,July 1 1974
Kyle Kuzma,July 24 1995
Ognjen Kuzmi?,May 16 1990
Mindaugas Kuzminskas,October 19 1989
Fred LaCour,February 7 1938
Raef LaFrentz,May 29 1976
Tom LaGarde,February 10 1955
Rusty LaRue,December 10 1973
Rudy LaRusso,November 11 1937
Zach LaVine,March 10 1995
Skal Labissière,March 18 1996
Reggie Lacefield,April 10 1945
Edgar Lacey,August 2 1944
Sam Lacey,March 28 1948
Bob Lackey,April 4 1949
Wendell Ladner,October 6 1948
Christian Laettner,August 17 1969
Oliver Lafayette,May 6 1984
Bill Laimbeer,May 19 1957
Pete Lalich,June 23 1920
Bo Lamar,April 7 1951
Anthony Lamb,January 20 1998
Doron Lamb,November 6 1991
Jeremy Lamb,May 30 1992
John Lambert,January 14 1953
Jeff Lamp,March 9 1959
Maciej Lampe,February 5 1985
Jim Lampley,July 2 1960
Sean Lampley,September 3 1979
Jock Landale,October 25 1995
Carl Landry,September 19 1983
Marcus Landry,November 1 1985
Mark Landsberger,May 21 1955
Jerome Lane,December 4 1966
Andrew Lang,June 28 1966
Antonio Lang,May 15 1972
James Lang,October 17 1983
Trajan Langdon,May 13 1976
Keith Langford,September 15 1983
Romeo Langford,October 25 1999
Dan Langhi,November 28 1977
Bob Lanier*,September 10 1948
Stu Lantz,July 13 1946
Nicolás Laprovíttola,January 31 1990
York Larese,July 18 1938
Shane Larkin,October 2 1992
John Laskowski,June 7 1953
Stéphane Lasme,December 17 1982
Dave Lattin,December 23 1943
Priest Lauderdale,August 31 1973
Rich Laurel,July 11 1954
Harry Laurie,November 2 1944
Walt Lautenbach,November 17 1922
Joffrey Lauvergne,September 30 1991
Tony Lavelli,July 11 1926
Bob Lavoy,June 29 1926
Acie Law,January 25 1985
Vic Law,December 19 1995
Gani Lawal,November 7 1988
Edmund Lawrence,December 8 1952
Jason Lawson,September 2 1974
Ty Lawson,November 3 1987
Jake Layman,March 7 1994
Mo Layton,December 24 1948
Caris LeVert,August 25 1994
T.J. Leaf,April 30 1997
Manny Leaks,November 27 1945
Hal Lear,January 31 1935
Allen Leavell,May 27 1957
Jeff Lebo,October 5 1966
Eric Leckner,May 27 1966
Jalen Lecque,June 13 2000
Ricky Ledo,September 10 1992
Butch Lee,December 5 1956
Clyde Lee,March 14 1944
Courtney Lee,October 3 1985
Damion Lee,October 21 1992
David Lee,March 31 1942
David Lee,April 29 1983
Doug Lee,October 24 1964
George Lee,November 23 1936
Greg Lee,December 12 1951
Keith Lee,December 28 1962
Kurk Lee,June 3 1967
Malcolm Lee,May 22 1990
Rock Lee,May 1 1955
Ron Lee,November 2 1952
Russ Lee,January 27 1950
Saben Lee,June 23 1999
Ed Leede,July 17 1927
Hank Lefkowitz,August 31 1923
Tim Legler,December 26 1966
George Lehmann,May 1 1942
Barry Leibowitz,September 10 1945
Walt Lemon Jr.,July 26 1992
Alex Len,June 16 1993
Voshon Lenard,May 14 1973
Leary Lentz,February 23 1945
Gary Leonard,February 16 1967
Kawhi Leonard,June 29 1991
Meyers Leonard,February 27 1992
Slick Leonard*,July 17 1932
Jim Les,August 18 1963
Travis Leslie,March 29 1990
Ronnie Lester,January 1 1959
Clifford Lett,December 23 1965
Jon Leuer,May 14 1989
Andrew Levane,April 11 1920
Fat Lever,August 18 1960
Cliff Levingston,January 4 1961
Bobby Lewis,March 20 1945
Cedric Lewis,September 24 1969
Freddie Lewis,January 6 1921
Freddie Lewis,July 1 1943
Grady Lewis,March 25 1917
Kira Lewis Jr.,April 6 2001
Martin Lewis,April 28 1975
Mike Lewis,March 18 1946
Quincy Lewis,June 26 1977
Ralph Lewis,March 28 1963
Rashard Lewis,August 8 1979
Reggie Lewis,November 21 1965
Scottie Lewis,March 12 2000
Marcus Liberty,October 27 1968
Todd Lichti,January 8 1967
DeAndre Liggins,March 31 1988
Bill Ligon,May 29 1952
Goose Ligon,February 22 1944
Damian Lillard,July 15 1990
Jeremy Lin,August 23 1988
Steve Lingenfelter,June 10 1958
Alton Lister,October 1 1958
Nassir Little,February 11 2000
Samuel Little,March 29 1946
Gene Littles,June 29 1943
Isaiah Livers,July 28 1998
Randy Livingston,April 2 1975
Shaun Livingston,September 11 1985
Ron Livingstone,October 9 1925
Horacio Llamas,July 17 1973
Bobby Lloyd,January 3 1946
Chuck Lloyd,May 22 1947
Earl Lloyd*,April 3 1928
Lewis Lloyd,February 22 1959
Scott Lloyd,December 19 1952
Riney Lochmann,May 26 1944
Bob Lochmueller,June 5 1927
Rob Lock,May 22 1966
Darrell Lockhart,September 14 1960
Ian Lockhart,June 25 1967
Kevin Loder,March 15 1959
Don Lofgran,November 8 1929
Zach Lofton,November 18 1992
Henry Logan,March 14 1946
John Logan,January 1 1921
Brad Lohaus,September 29 1964
Art Long,October 1 1972
Grant Long,March 12 1966
John Long,August 28 1956
Paul Long,February 8 1944
Shawn Long,January 29 1993
Willie Long,March 1 1950
Luc Longley,January 19 1969
Kevon Looney,February 6 1996
Brook Lopez,April 1 1988
Felipe López,December 19 1974
Raül López,April 15 1980
Robin Lopez,April 1 1988
Ryan Lorthridge,July 27 1972
Jim Loscutoff,February 4 1930
Plummer Lott,December 11 1945
Kevin Loughery,March 28 1940
Didi Louzada,February 7 1999
Bob Love,December 8 1942
Kevin Love,September 7 1988
Stan Love,April 9 1949
Clyde Lovellette*,September 7 1929
Sidney Lowe,January 21 1960
Charlie Lowery,November 12 1949
Kyle Lowry,March 25 1986
Jordan Loyd,July 27 1993
Al Lucas,July 4 1922
Jerry Lucas*,March 30 1940
John Lucas,October 31 1953
Kalin Lucas,May 24 1989
Maurice Lucas,February 18 1952
John Lucas III,November 21 1982
Ted Luckenbill,July 27 1939
Tyronn Lue,May 3 1977
Jim Luisi,November 2 1928
Al Lujack,October 5 1920
Phil Lumpkin,December 20 1951
Ray Lumpp,July 11 1923
Gabriel Lundberg,December 4 1994
Timothé Luwawu-Cabarrot,May 9 1995
Tyler Lydon,April 9 1996
Trey Lyles,November 5 1995
George Lynch,September 3 1970
Kevin Lynch,December 24 1968
Lonnie Lynn,May 24 1943
Mike Lynn,November 25 1945
Sheldon Mac,December 21 1992
Todd MacCulloch,January 27 1976
Ronnie MacGilvray,July 20 1930
Don MacLean,January 16 1970
Mike Macaluso,July 20 1951
Ed Macauley*,March 22 1928
Scott Machado,June 8 1990
Arvydas Macijauskas,January 19 1980
Ollie Mack,June 6 1957
Sam Mack,May 26 1970
Shelvin Mack,April 22 1990
Malcolm Mackey,July 11 1970
Rudy Macklin,February 19 1958
Vernon Macklin,September 20 1986
Johnny Macknowski,January 7 1923
Daryl Macon,November 29 1995
Mark Macon,April 14 1969
J.P. Macura,June 5 1995
Kyle Macy,April 9 1957
Jack Maddox,December 10 1919
Tito Maddox,June 7 1981
Gerald Madkins,April 18 1969
Mark Madsen,January 28 1976
Norm Mager,March 23 1926
Josh Magette,November 28 1989
Corey Maggette,November 12 1979
Dave Magley,November 24 1959
Jamaal Magloire,May 21 1978
Will Magnay,June 10 1998
Randolph Mahaffey,September 28 1945
Ian Mahinmi,November 5 1986
John Mahnken,June 16 1922
Brian Mahoney,December 17 1948
Mo Mahoney,November 20 1927
Rick Mahorn,September 21 1958
Dan Majerle,September 9 1965
Renaldo Major,May 7 1982
Thon Maker,February 25 1997
Lionel Malamed,November 15 1924
Théo Maledon,June 12 2001
Jeff Malone,June 28 1961
Karl Malone*,July 24 1963
Moses Malone*,March 23 1955
Matt Maloney,December 6 1971
Steve Malovic,July 21 1956
Mike Maloy,May 10 1949
Sandro Mamukelashvili,May 23 1999
Ted Manakas,February 22 1951
John Mandic,October 3 1919
Karim Mané,May 16 2000
Frank Mangiapane,August 5 1925
Terance Mann,October 18 1996
Tre Mann,February 3 2001
Danny Manning,May 17 1966
